player_name,player_id,total_four
"D Salunkhe",37,38
"M Kaif",33,38
"SR Watson",32,38
"YK Pathan",31,38
"IK Pathan",29,38
"Yuvraj Singh",27,38
"KC Sangakkara",26,38
"JR Hopes",25,38
"Mustafizur Rahman",460,38
"HM Amla",427,38
"MP Stoinis",409,38
"Anureet Singh",395,38
"DJ Hooda",394,38
"BCJ Cutting",385,38
"AR Patel",374,38
"Sandeep Sharma",367,38
"MM Sharma",364,38
"Gurkeerat Singh",329,38
"DA Miller",320,38
"GJ Maxwell",305,38
"B Kumar",299,38
"DA Warner",187,38
"M Vijay",185,38
"KV Sharma",166,38
"MC Henriques",163,38
"A Nehra",73,38
"S Dhawan",42,38
"Yuvraj Singh",27,38
"AT Rayudu",208,37
"S Kaushik",432,37
"M Ashwin",418,37
"JP Faulkner",310,37
"SPD Smith",306,37
"NLTC Perera",280,37
"R Ashwin",201,37
"YK Pathan",31,37
"DR Smith",147,37
"JA Morkel",109,37
"R Bhatia",89,37
"AM Rahane",85,37
"DS Kulkarni",80,37
"DJ Bravo",71,37
"RA Jadeja",35,37
"SK Raina",21,37
"MS Dhoni",20,37
"P Kumar",14,37
"BB McCullum",2,37
"G Gambhir",40,37
"RV Uthappa",46,37
"Harbhajan Singh",50,37
"RG Sharma",57,37
"PP Chawla",67,37
"R Vinay Kumar",81,37
"MK Pandey",96,37
"M Morkel",190,37
"SL Malinga",194,37
"AB Dinda",106,37
"KA Pollard",221,37
"UT Yadav",232,37
"Shakib Al Hasan",276,37
"SA Yadav",308,37
"SP Narine",315,37
"AD Russell",334,37
"LMP Simmons",383,37
"J Suchith",398,37
"HH Pandya",400,37
"MJ McClenaghan",403,37
"P Awana",333,37
"Gurkeerat Singh",329,37
"P Negi",322,37
"Azhar Mahmood",321,37
"DA Miller",320,37
"VR Aaron",296,37
"Harmeet Singh",256,37
"Mandeep Singh",236,37
"UT Yadav",232,37
"M Morkel",190,37
"DA Warner",187,37
"SE Marsh",100,37
"PP Chawla",67,37
"DPMD Jayawardene",64,37
"Y Venugopal Rao",54,37
"LRPL Taylor",52,37
"V Sehwag",41,37
"IK Pathan",29,37
"P Kumar",14,37
"DJ Hussey",4,37
"BW Hilfenhaus",451,37
"JEC Franklin",275,37
"KA Pollard",221,37
"AT Rayudu",208,37
"R Ashwin",201,37
"SL Malinga",194,37
"SB Jakati",186,37
"M Vijay",185,37
"DR Smith",147,37
"SR Tendulkar",133,37
"JA Morkel",109,37
"DS Kulkarni",80,37
"DJ Bravo",71,37
"RP Singh",61,37
"RG Sharma",57,37
"Harbhajan Singh",50,37
"RA Jadeja",35,37
"S Badrinath",23,37
"SK Raina",21,37
"MS Dhoni",20,37
"MEK Hussey",19,37
"BB McCullum",2,37
